
-1,0,0.00461997
2,0,0.00839895
-2,3,0.0208459
-2,2,0.0166849
-3,-2,0.0208279
2,0,0.00837295
1,2,0.0125369
-2,-3,0.0208349
-2,-3,0.0208559
-1,-1,0.00837095
1,-3,0.0169369
-2,1,0.0125779
-3,-3,0.0251449
1,-1,0.00840895
-3,-3,0.0251159
-1,2,0.0125779
1,0,0.00421998
2,1,0.0125339
0,-1,0.00423298
2,-1,0.0126379
1,2,0.0213119
-3,0,0.0129599
1,-2,0.0125959
0,1,0.00421798
1,2,0.0126019
2,-3,0.0216019
-2,0,0.00836995
-2,2,0.0166689
3,3,0.0249629
0,0,2e-05
-2,-2,0.0173389
3,-1,0.0167159
0,-3,0.0125269
-1,0,0.00421898
1,2,0.0128839
1,1,0.00836995
2,-1,0.0125259
0,1,0.00418998
1,1,0.00835495
-1,1,0.00836895
3,-1,0.019982
1,-1,0.008462
1,2,0.012592
0,0,2.4e-05
2,3,0.020931
-3,-2,0.021245
0,1,0.004279
0,3,0.012636
0,0,2.9e-05
0,0,2.2e-05
3,1,0.017112
0,-1,0.00422
-1,-1,0.008388
-2,-1,0.012533
-1,-1,0.008332
1,-2,0.012472
1,1,0.008346
-3,0,0.012511
-2,3,0.02085
2,1,0.012528
-1,1,0.008625
0,1,0.004223
-2,-2,0.016692
-2,2,0.016702
2,-1,0.012542
1,-3,0.01666
2,-1,0.012522
-3,3,0.024998
0,1,0.00421
-2,2,0.016677
2,-3,0.021087
3,-2,0.020892
0,2,0.008343
-3,0,0.012481
-1,-3,0.01667
1,1,0.008365
-2,3,0.020825
-1,-2,0.012625
0,0,2.2e-05
1,2,0.01254
1,1,0.008638
1,-1,0.008395
-1,-1,0.008373
-1,0,0.004194
2,-1,0.01255
1,1,0.008375
3,0,0.012536
0,-3,0.012536
1,-3,0.016688
1,-1,0.008376
2,1,0.154053
1,0,0.153838
-3,1,0.153823
-1,-2,0.154447
-3,1,0.154021
-3,-2,0.154996
2,-1,0.154941
1,-1,0.154998
-1,2,0.155774
3,0,0.154963
